video_id,title,hashtags,tags,published_at,duration
4sZhrv1CqtI,ニャ！！！！！！！！ #shorts #vtuber #varkshorts #にじさんじ #白雪巴  #3d,"#shorts, #vtuber, #varkshorts, #にじさんじ, #白雪巴, #3d","お披露目, 3D",2024-02-23T09:00:04Z,PT7S
j_LhTtRjpH8,飛行機に大興奮ｗｗｗｗするお姉さん #shorts #vtuber #切り抜き #にじさんじ #白雪巴 #実話,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴, #実話","雑談, 体験談",2024-02-22T09:00:26Z,PT59S
R7FqVPCikec,ご飯にする？お風呂にする？それとも‥の謎について言及する白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-02-21T09:00:26Z,PT35S
LbbHE-5eJa8,#リア充★撲滅運動 お姉さんが踊ってみた♡ #shorts #vtuber #3d #白雪巴 #にじさんじ,"#リア充★撲滅運動, #shorts, #vtuber, #3d, #白雪巴, #にじさんじ",企画,2024-02-20T09:00:13Z,PT25S
apj4e2czcrM,免許の理由が不純でしかない白雪巴 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-02-17T09:00:05Z,PT38S
ZMpfcpZ27wQ,一人暮らしすると実家であるあるｗｗｗｗｗ #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, 体験談",2024-02-12T09:00:32Z,PT36S
wVXav-r-TFc,【#白雪巴誕生日2024】バースデー後夜祭♥タグ巡回のつづきとスパチャお礼！【白雪 巴/にじさんじ】,#白雪巴誕生日2024,"イベント, 誕生祭",2024-02-09T17:06:45Z,PT4H29M5S
eikh24sJwsA,【#白雪巴誕生日2024】誕生日ありがとう♥あなたと私それぞれの想いを探ってみる！【白雪 巴/にじさんじ】,#白雪巴誕生日2024,"イベント, 誕生祭",2024-02-08T16:28:43Z,PT3H3M15S
BjjGyZQIvnU,【SUPER BOMBERMAN Ｒ２】ニンジャtomoe参上ナリ！逃げて隠れて漁夫の利すべし！！#にじさんじ6周年【白雪 巴/にじさんじ】,#にじさんじ6周年【白雪,"ゲーム実況, 対戦・アクションゲーム, SUPER BOMBERMAN R2",2024-02-03T13:17:13Z,PT1H59M1S
X04CmStQrvI,【縦型配信/#shorts 】初見さんも♡チャット読みながら楽しくおはなし【白雪 巴/にじさんじ】,#shorts,"雑談, フリートーク",2024-02-01T17:03:17Z,PT3H36M18S
ow8Qqx1l00Y,イイ声♥をお届けするために白雪巴が愛用している配信機材のご紹介 #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-01-25T09:00:37Z,PT42S
wZ1ASFvIT_w,【#銀河英雄伝説 戦いの輪舞曲】白雪と一緒に宇宙を手に入れないか？【白雪 巴/にじさんじ】,#銀河英雄伝説,"ゲーム実況, シミュレーション, 銀河英雄伝説 戦いの輪舞曲",2024-01-17T13:38:47Z,PT1H34M30S
ojXS6TA4vIk,ファンレターの●●に敏感なお姉さんVtuber #shorts #vtuber #切り抜き #にじさんじ #白雪巴,"#shorts, #vtuber, #切り抜き, #にじさんじ, #白雪巴","雑談, フリートーク",2024-01-12T09:00:43Z,PT42S
